"Time","10.244.1.173:32000","10.244.20.254:32000","10.244.21.15:32000","10.244.22.190:32000","10.244.23.28:32000","10.244.24.156:32000","10.244.25.199:32000","10.244.26.148:32000","10.244.28.200:32000","10.244.29.56:32000","10.244.30.88:32000","10.244.31.26:32000","10.244.32.247:32000","10.244.33.120:32000","10.244.34.173:32000","10.244.36.32:32000","10.244.37.129:32000","10.244.38.32:32000","10.244.39.131:32000"
1748384675000,3.7576208552187893,5.116699900859288,4.575000002514557,4.061583223154486,4.425000001210705,4.946332797909449,5.641015558724675,5.833793041801698,4.752177179320711,14.125589640719312,6.8999999971129,6.375000004190952,3.825000000651926,2.8973053871772976,5.752077073162255,4.175000002142042,3.775000001769513,3.5499999998137355,5.374999998603016
1748384680000,4.767841409528913,4.885341363779489,7.850000001490116,5.479709418278432,4.253707776358411,5.12830301828204,7.50051517315471,4.736929541678165,7.656442577775124,13.491333272242159,5.646602965316191,4.300000001676381,4.7999999998137355,6.00944811130897,6.325000000651926,3.499999998603016,4.149999998044223,3.0749999987892807,3.5403580714279315
1748384685000,3.9500000001862645,3.799999998882413,7.5499999965541065,3.771119349461628,3.642000401599404,6.899846481056116,4.271617972460021,4.078782730640057,4.799999997485429,12.30727291074625,5.6499999994412065,5.299999995622784,4.750000003259629,6.6406631283420126,8.024920331997905,5.775000001303837,4.022952047582308,4.950000001117587,5.459458102977081
1748384690000,4.202156549579229,3.8750000041909374,7.9000000027008355,3.9518385287113773,9.800000002142042,7.390290834071749,19.39497296046997,4.846422854177817,7.325000003911555,12.77499999850987,9.325000001117573,5.647127877338903,5.474999998696134,5.684318049456792,8.714631455740005,6.074999994598329,5.20974930202668,5.149999998975545,4.425000005867332
1748384695000,63.50496266088545,45.91238557779762,26.24555584139732,55.87473641252305,46.10284203977562,53.11420568460211,88.51244640158261,57.29740363528417,56.38017928053391,23.278215845614895,53.2877319862717,35.532542995269054,55.554470772024324,19.40148088741563,51.465621139515974,57.557293335890535,19.030474459314362,52.00347000647854,71.21916932786202
1748384700000,100,98.84769538620894,94.90990941298105,99.94965767125464,97.44999999878928,100,100,100,99.74899598253315,90.92082079330208,96.60000000149012,99.30078263636341,99.90004494061098,96.97846600073227,98.40095942518307,99.22623801554298,97.37954504521234,98.67518975313779,100
1748384705000,100,100,100,99.95002997048827,100,100,100,100,100,99.94997497609312,100,100,100,100,100,100,100,100,100
1748384710000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384715000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95000500011767
1748384720000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384725000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384730000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384735000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384740000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384745000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384750000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384755000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384760000,100,100,100,100,100,100,100,100,100,100,99.95002996516007,100,100,100,100,100,100,100,100
1748384765000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384770000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384775000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384780000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384785000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384790000,100,100,100,100,100,100,100,100,100,99.9499949881139,100,100,100,100,100,100,99.95001498746743,100,100
1748384795000,100,100,100,100,100,100,100,100,100,100,100,99.95000499611888,100,100,100,100,100,100,100
1748384800000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384805000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384810000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384815000,99.94999999995343,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384820000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384825000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384830000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.97492477488345,100
1748384835000,99.97504990017636,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.97497497553432,100
1748384840000,99.97503495104526,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384845000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384850000,100,100,100,100,100,100,100,100,100,99.9499699604156,100,100,100,100,100,100,100,100,100
1748384855000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384860000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384865000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384870000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384875000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1748384880000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.97500999656017,100,100,100,100
1748384885000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9750000005588,100,100,100,100
1748384890000,100,100,100,100,99.97498498922403,100,100,100,99.97500999423279,100,100,100,100,100,100,100,100,100,100
1748384895000,100,100,100,100,99.97499999823049,100,100,100,99.97493482878532,100,100,100,100,100,100,100,100,100,100
1748384900000,100,100,100,100,100,100,100,100,100,99.97501499156385,100,100,100,100,100,100,100,100,100
1748384905000,100,100,100,100,100,100,100,100,100,99.9749949995587,100,100,99.97498499155373,100,100,100,100,100,99.95001499611905
1748384910000,100,100,100,100,100,100,100,100,100,100,100,100,99.97501998457113,100,100,100,100,100,100
1748384915000,100,100,100,100,100,100,100,99.92506475068178,100,100,100,100,100,100,100,99.97498999655741,100,100,100
1748384920000,100,100,91.97382872056149,100,100,100,100,99.97499999823049,100,100,100,100,100,100,100,99.97504990075728,100,100,100
1748384925000,100,100,87.9779888008472,100,100,100,100,100,100,100,100,100,100,100,99.97502497558321,100,100,100,100
1748384930000,100,100,99.94997998510523,100,91.27500000176951,100,97.82498499071554,100,100,99.97497497553432,100,100,100,100,83.99942409439768,100,100,100,100
1748384935000,100,90.00300661399199,100,93.65030842128252,25.32500000204891,100,18.475000003818423,100,74.55000000307336,87.84954955104274,100,100,72.8249999997206,100,17.399999997578547,99.0749999997206,99.94999999646097,96.50000000139698,80.49767453537292
1748384940000,30.187895158249518,20.3368047233794,100,6.199959937668893,2.4249999970197678,69.4975345064354,4.074999997392297,100,6.275000004097819,12.461270980233934,60.649087622613074,73.90000000363216,5.125000001862645,35.39763811030228,2.42499999934806,94.15000000270084,21.399999998975545,23.7999999988824,7.159468104888816
1748384945000,2.400000000197906,2.2000000020489097,100,2.049999996088431,2.4249999970197678,4.756182473362131,3.5000000009313084,100,3.3499999972991645,6.687610093753989,7.919292288114789,8.749999999999986,2.099999999627471,2.3500000033527613,3.1000000005587935,92.94999999925494,2.1000000019557774,2.249999998603016,2.2707324369476964
1748384950000,2.149999999674037,2.3542924261285663,100,2.4042024789792293,2.6750000054016567,2.7999999979510903,3.200046553663711,100,3.20235623002867,6.224999995902181,3.5386490793381284,2.774999993853271,2.3638888881456097,2.525000001769513,3.925000000745044,93.08125623739593,2.525000001769513,2.50728896418444,2.407453604217878
1748384955000,2.150067851877651,2.400677557621705,100,2.3562323780536047,2.01015002063383,2.4086096670956465,2.7229785044218175,100,3.1403983669866733,17.074842575377986,3.2016082271541677,4.26759721395112,2.226255785347547,2.0819686473579253,2.900000000372529,96.00642154988067,2.0337894527530693,1.922874557439627,2.2467548092782437
1748384960000,2.0746971499396807,2.3200190795832754,100,1.933222713693084,2.2152608500552304,2.516639966283279,3.849999997764826,100,3.160057196579345,18.63340198517129,3.4653381636852174,2.8792878658250913,1.933684529356853,2.318969945476425,3.4999999962747097,97.09936822834061,2.716670000183811,2.545426795366808,1.9999999972060323
1748384965000,2.325000000128057,1.8525781854119572,100,1.824025971604243,2.2249999991618097,2.904112531084806,3.974999999627471,100,3.099999998230487,6.375000001862645,3.324999997857958,2.799999995622784,2.6500000013038374,2.4250000016763806,2.5000000023283064,37.13429442474325,2.1250000037252903,2.2500000009313226,2.2402230432120263
1748384970000,2.6000000003841564,2.885912114747441,100,3.0821037141268732,2.1249999990686774,3.2750000059604645,3.3500000019557774,100,3.7250000052154064,7.275000002700821,3.600000001024455,2.8249999997206032,2.2500000009313226,2.649999998975545,3.9500000001862645,4.121662995843067,2.9791275227417913,2.8750000009313226,2.359768049743039
1748384975000,1.999999999825377,2.9610888715635753,100,2.028035142097451,2.9499999969266355,3.0960326195706216,3.125,100,3.0249999975785613,7.677598437582901,4.00000000139697,4.225000003352747,2.5750000029802322,3.224999997764826,3.9500000001862645,3.125,2.845852512438327,2.474999998230487,2.915298059425467
1748384980000,3.0249999996158294,2.513948841484634,99.94999999646097,3.336212572836203,2.425000004004687,2.644482206651716,3.699999996460974,100,3.5928050732717765,7.622203320967998,3.525000000372529,2.8887489953076084,3.1499999947845936,3.2000000053085387,3.3536845244311735,2.6444422226452673,2.8249999997206032,2.2000000020489097,1.6749999998137355
1748384985000,2.1249999999417923,2.9205826573027736,100,2.479367378361303,2.7749999985098697,3.2555722255379465,2.8499999991617955,100,3.1073903453673495,7.800000000279397,3.1249999976716794,4.136649319268997,2.025000003632144,2.374999998137355,3.8482878137439513,3.0055522207957495,2.23920863514266,2.6749999984167516,3.575000001583234
1748384990000,2.4500000005354963,2.555492199858989,100,1.8760010022138545,2.8194122353843483,2.6693922467334232,3.450000004377202,100,3.300000000745058,6.69625374662516,3.453797723973423,2.400000002235174,2.42499999934806,2.5750000006519116,4.347359500950674,2.850000006146729,2.0104483524438024,2.3750000004656613,2.6780323937532984
1748384995000,2.525000000023283,2.561028818493625,100,1.9803321300590255,2.480492199207063,2.780572229171028,3.4000000008381903,100,2.850000001490116,9.168312675302843,3.54592755578868,4.299999997019768,2.1999999997206032,3.5999999986961484,3.6771176212038483,2.899999995715902,3.450000004377202,2.250000003259629,2.582004808031968
1748385000000,2.12499999965074,2.6750000030733645,100,1.9445921690007708,2.64446221464803,2.4999999976716936,5.274999998509884,100,3.200000000651926,7.009913881947995,3.074999996460974,3.1290675623509117,1.9250000012107193,2.3250000015832484,2.8250000020489097,2.5499999942258,2.2999999998137355,2.9249999998137213,2.8500000038184226
1748385005000,2.475000000267741,2.3542924214733603,100,2.85969306054983,2.405482189896219,2.4750000005587935,2.975000001024455,100,3.099999998230487,6.749999995809048,3.2250000024214245,2.8958375046439784,2.4499999987892807,2.1749999979510903,5.224999999627471,2.050000000745058,2.7999999979510903,2.1999999950639904,2.299999997485429
1748385010000,1.9749999998020797,2.1706273784757144,100,1.890193038049233,2.099999999627471,2.54449220721564,2.7750000008381903,99.95001499212265,2.6750000030733645,6.400000001303852,3.1249999976716794,3.3749999990686774,1.8500000005587935,2.750000001396984,2.975000001024455,2.5750000029802322,2.350000001024455,1.8500000028871,2.125000001396984
1748385015000,2.499999999999986,2.1727544912081243,100,2.019410881392332,2.5487762261028593,3.0305622219090935,2.9522641060463997,34.058340006051864,3.033130240079302,7.300000002142042,2.8241530526466647,3.125,2.1282348226973085,2.4999999976716936,2.818189533722631,2.11860894822145,1.8999999971129,2.474999998230487,3.02320307791652
1748385020000,3.0250000004889444,2.580402160958556,99.6500249758626,2.7486480095229524,2.226276271990514,4.3999999994412065,4.693021629214357,3.3790375794080774,3.835786285187865,14.121390106771287,3.2373502315732594,3.075000001117573,2.4215945512808474,2.4255602223404935,3.8595580884755094,2.9330913283251903,2.726356475592638,1.3500000024214387,3.077762346494623
1748385025000,3.8452143565919243,3.7459425626503133,38.27545045585548,3.9193945927752054,5.326637383918623,5.250000001396984,4.968166144383389,5.516563425673752,6.159493293495771,13.020589414598604,5.701444624757983,4.724999996833503,3.499999998603016,4.878707734864889,6.306032413617146,5.624999997671694,2.5518036061918394,4.475000000093132,4.171617967708869
1748385030000,3.9868094475229725,4.425000005867332,6.54999999795109,3.3195141867773543,4.198677884526731,3.5041275203203526,8.447201959780429,4.205839865130429,5.799999998416752,13.008658266483835,5.324999999720603,3.674999999348074,4.750000003259629,4.250000000465661,4.249999998137355,4.050000000279397,7.062906613513775,5,4.869022396724915
1748385035000,3.2556522607530525,5.341616732755455,6.25,3.3183573058454954,4.424999998882413,6.97226335987817,5.175838660569283,5.374285629364451,6.302928242495199,11.648464080589548,6.099999998696148,6.999999999534339,3.6999999987892664,5.100000002421439,4.907021575133513,4.175000004470348,2.880742292634693,3.574999999254942,4.134583084314144
