"Time","dev-k8s-lc869-01","dev-k8s-lc869-02","dev-k8s-lc869-03","dev-k8s-lc869-04","dev-k8s-lc869-05","dev-k8s-lc869-06","dev-k8s-lc869-07","dev-k8s-lc869-08","dev-k8s-lc869-09","dev-k8s-lc869-10","dev-k8s-lc869-11","dev-k8s-lc869-12","dev-k8s-lc869-13","dev-k8s-lc869-14","dev-k8s-lc869-15","dev-k8s-lc869-16","dev-k8s-lc869-17","dev-k8s-lc869-18","dev-k8s-lc869-19"
1748384678000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384679000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384681000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384682000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384684000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384685000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384686000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384688000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384689000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748384691000,0,0,0,3,3,0,3,0,2,0,3,0,0,0,0,0,0,3,0
1748384692000,0,4,0,3,3,0,3,0,2,4,3,0,0,0,0,0,5,3,0
1748384693000,5,4,0,3,3,0,3,0,2,4,3,0,0,4,0,4,5,3,0
1748384694000,5,4,5,3,3,6,3,0,2,4,3,5,5,4,6,4,5,3,6
1748384695000,5,4,5,3,3,6,3,6,2,4,3,5,5,4,6,4,5,3,6
1748384696000,5,4,5,7,8,6,7,6,7,4,7,5,5,4,6,4,5,8,6
1748384697000,5,8,5,7,8,6,7,6,7,7,7,5,5,4,6,4,9,8,6
1748384698000,10,8,5,7,8,6,7,6,7,7,7,5,5,9,6,9,9,8,6
1748384699000,10,8,9,7,8,10,7,6,7,7,7,10,9,9,10,9,9,8,10
1748384700000,10,8,9,7,8,10,7,9,7,7,7,10,9,9,10,9,9,8,10
1748384701000,10,8,9,10,10,10,10,9,10,7,10,10,9,9,10,9,9,10,10
1748384702000,10,10,9,10,10,10,10,9,10,9,10,10,9,9,10,9,10,10,10
1748384703000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384704000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384705000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384706000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384707000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384708000,10,10,9,10,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10
1748384709000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
1748384710000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
1748384711000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
1748384712000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
1748384713000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
1748384714000,10,10,9,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
