"Time","dev-k8s-lc869-01","dev-k8s-lc869-02","dev-k8s-lc869-03","dev-k8s-lc869-04","dev-k8s-lc869-05","dev-k8s-lc869-06","dev-k8s-lc869-07","dev-k8s-lc869-08","dev-k8s-lc869-09","dev-k8s-lc869-10","dev-k8s-lc869-11","dev-k8s-lc869-12","dev-k8s-lc869-13","dev-k8s-lc869-14","dev-k8s-lc869-15","dev-k8s-lc869-16","dev-k8s-lc869-17","dev-k8s-lc869-18","dev-k8s-lc869-19"
1748374844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374846000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374847000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374848000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374849000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748374850000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1748374851000,3,3,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,3
1748374852000,3,3,0,4,1,0,0,4,5,4,0,3,3,0,5,3,5,0,3
1748374853000,3,3,0,4,1,0,6,4,5,4,0,3,3,4,5,3,5,6,3
1748374854000,3,3,3,4,1,6,6,4,5,4,0,3,3,4,5,3,5,6,3
1748374855000,8,7,3,4,1,6,6,4,5,4,7,3,3,4,5,3,5,6,8
1748374856000,8,7,3,4,1,6,6,4,5,8,7,8,3,4,5,8,5,6,8
1748374857000,8,7,3,10,5,6,6,9,10,8,7,8,9,4,5,8,10,6,8
1748374858000,8,7,3,10,5,6,11,9,10,8,7,8,9,10,10,8,10,11,8
1748374859000,8,7,8,10,5,11,11,9,10,8,7,8,9,10,10,8,10,11,8
1748374860000,12,12,8,10,5,11,11,9,10,8,13,8,9,10,10,8,10,11,13
1748374861000,12,12,8,10,5,11,11,9,10,12,13,13,9,10,10,12,10,11,13
