"Time","dev-k8s-lc869-01","dev-k8s-lc869-02","dev-k8s-lc869-03","dev-k8s-lc869-04","dev-k8s-lc869-05","dev-k8s-lc869-06","dev-k8s-lc869-07","dev-k8s-lc869-08","dev-k8s-lc869-09","dev-k8s-lc869-10","dev-k8s-lc869-11","dev-k8s-lc869-12","dev-k8s-lc869-13","dev-k8s-lc869-14","dev-k8s-lc869-15","dev-k8s-lc869-16","dev-k8s-lc869-17","dev-k8s-lc869-18","dev-k8s-lc869-19"
1748364935000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364936000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364937000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364938000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364939000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364940000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364941000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364942000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364943000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364944000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364945000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364946000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1748364947000,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
1748364948000,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1
1748364949000,1,1,3,2,1,3,2,2,2,1,1,1,1,2,2,1,1,2,1
1748364950000,3,4,3,2,1,3,2,2,2,1,3,1,1,2,2,1,1,2,4
1748364951000,3,4,3,2,1,3,2,2,2,4,3,4,1,2,2,4,1,2,4
1748364952000,3,4,3,5,4,3,2,4,4,4,3,4,4,2,2,4,4,2,4
1748364953000,3,4,3,5,4,3,4,4,4,4,3,4,4,6,5,4,4,5,4
1748364954000,3,4,4,5,4,5,4,4,4,4,3,4,4,6,5,4,4,5,4
1748364955000,5,5,4,5,4,5,4,4,4,4,2,4,4,6,5,4,4,5,4
1748364956000,5,5,4,5,4,5,4,4,4,4,2,4,4,6,5,6,4,5,4
1748364957000,5,5,4,5,6,5,4,4,4,4,2,4,5,6,5,6,5,5,4
1748364958000,5,5,4,5,6,5,5,4,4,4,2,4,5,5,5,6,5,5,4
1748364959000,5,5,5,5,6,6,5,4,4,4,2,4,5,5,5,6,5,5,4
1748364960000,6,5,5,5,6,6,5,4,4,4,2,4,5,5,5,6,5,5,6
1748364961000,6,5,5,5,6,6,5,4,4,6,2,5,5,5,5,7,5,5,6
1748364962000,6,5,5,6,6,6,5,6,5,6,2,5,6,5,7,7,6,5,6
1748364963000,6,5,5,6,6,6,5,6,5,6,2,5,6,6,7,7,6,7,6
1748364964000,6,5,5,6,6,6,5,6,5,6,2,5,6,6,7,7,6,7,6
1748364965000,6,6,5,6,6,6,5,6,5,6,2,5,6,6,7,7,6,7,6
1748364966000,6,6,5,6,6,6,5,6,5,7,2,4,6,6,7,6,6,7,6
1748364967000,6,6,5,7,7,6,5,6,6,7,2,4,6,6,6,6,6,7,6
1748364968000,6,6,5,7,7,6,6,6,6,7,2,4,6,6,6,6,6,7,6
1748364969000,6,6,7,7,7,6,6,6,6,7,2,4,6,6,6,6,6,7,6
1748364970000,7,5,7,7,7,6,6,6,6,7,2,4,6,6,6,6,6,7,7
1748364971000,7,5,7,7,7,6,6,6,6,7,2,4,6,6,6,6,6,7,7
1748364972000,7,5,7,6,6,6,6,6,7,7,2,4,6,6,6,6,6,7,7
1748364973000,7,5,7,6,6,6,5,6,7,7,2,4,6,7,6,6,6,5,7
1748364974000,7,5,7,6,6,6,5,6,7,7,2,4,6,7,6,6,6,5,7
1748364975000,8,7,7,6,6,6,5,6,7,7,4,4,6,7,6,6,6,5,7
1748364976000,8,7,7,6,6,6,5,6,7,7,4,4,6,7,6,6,6,5,7
1748364977000,8,7,7,6,6,6,5,6,7,7,4,4,7,7,6,6,7,5,7
1748364978000,8,7,7,6,6,6,3,6,7,7,4,4,7,7,6,6,7,7,7
1748364979000,8,7,5,6,6,6,3,6,7,7,4,4,7,7,6,6,7,7,7
1748364980000,8,6,5,6,6,6,3,6,7,7,6,4,7,7,6,6,7,7,6
1748364981000,8,6,5,6,6,6,3,6,7,6,6,4,7,7,6,6,7,7,6
1748364982000,8,6,5,6,6,6,3,6,7,6,6,4,6,7,4,6,6,7,6
1748364983000,8,6,5,6,6,6,4,6,7,6,6,4,6,6,4,6,6,7,6
1748364984000,8,6,6,6,6,7,4,6,7,6,6,4,6,6,4,6,6,7,6
1748364985000,6,3,6,6,6,7,4,6,7,6,6,4,6,6,4,6,6,7,6
1748364986000,6,3,6,6,6,7,4,6,7,6,6,5,6,6,4,5,6,7,6
1748364987000,6,3,6,6,6,7,4,7,7,6,6,5,4,6,3,5,7,7,6
1748364988000,6,3,6,6,6,7,4,7,7,6,6,5,4,7,3,5,7,6,6
1748364989000,6,3,6,6,6,4,4,7,7,6,6,5,4,7,3,5,7,6,6
1748364990000,6,4,6,6,6,4,4,7,7,6,6,5,4,7,3,5,7,6,7
1748364991000,6,4,6,6,6,4,4,7,7,7,6,4,4,7,3,3,7,6,7
1748364992000,6,4,6,5,6,4,4,7,7,7,6,4,3,7,3,3,5,6,7
1748364993000,6,4,6,5,6,4,3,7,7,7,6,4,3,6,3,3,5,6,7
1748364994000,6,4,6,5,6,4,3,7,7,7,6,4,3,6,3,3,5,6,7
