"Time","10.244.1.173:32000","10.244.20.254:32000","10.244.21.15:32000","10.244.22.190:32000","10.244.23.28:32000","10.244.24.156:32000","10.244.25.199:32000","10.244.26.148:32000","10.244.28.200:32000","10.244.29.56:32000","10.244.30.88:32000","10.244.31.26:32000","10.244.32.247:32000","10.244.33.120:32000","10.244.34.173:32000","10.244.36.32:32000","10.244.37.129:32000","10.244.38.32:32000","10.244.39.131:32000"
2025-05-26 17:11:00,7.25,7.29,,7.93,5.93,7.25,11.0,7.76,7.40,32.2,10.2,12.7,6.61,,8.61,7.68,6.90,6.82,7.20
2025-05-26 17:11:05,18.8,15.8,15.6,27.9,11.6,13.2,25.7,20.7,27.5,37.7,14.4,16.3,12.6,9.94,27.6,22.6,14.1,29.9,18.4
2025-05-26 17:11:10,78.2,68.4,58.1,56.7,69.3,70.1,68.1,65.2,57.7,98.1,60.4,58.1,55.5,49.5,65.8,64.5,61.6,69.5,63.7
2025-05-26 17:11:15,96.6,80.7,79.0,50.8,97.3,89.6,75.1,86.4,72.5,98.0,86.6,79.4,76.6,71.5,76.0,63.0,95.8,89.8,80.8
2025-05-26 17:11:20,98.4,90.5,87.7,86.1,99.4,91.7,87.4,91.7,81.9,97.9,93.3,81.5,87.7,95.9,81.4,76.9,98.2,96.2,96.8
2025-05-26 17:11:25,98.2,95.1,97.4,98.4,99.1,92.6,95.1,99.6,86.0,99.8,91.7,93.0,90.3,98.3,94.9,86.0,99.5,100,95.6
2025-05-26 17:11:30,100,99.7,91.7,93.3,97.8,90.9,94.7,99.6,90.9,99.9,96.9,95.4,94.9,97.2,94.2,86.2,99.3,97.1,98.0
2025-05-26 17:11:35,97.3,97.7,95.3,99.0,97.3,88.4,92.9,95.5,97.1,98.4,94.7,90.2,93.2,93.6,89.8,94.0,97.3,98.3,98.5
2025-05-26 17:11:40,99.5,99.9,99.9,94.6,98.1,88.0,95.2,97.5,96.5,99.9,99.9,94.1,100.0,99.9,91.8,99.6,98.7,99.2,99.7
2025-05-26 17:11:45,96.4,100,99.4,96.7,97.9,96.1,91.2,98.0,95.7,99.1,94.9,98.3,97.7,100,95.2,94.8,99.2,95.2,96.9
2025-05-26 17:11:50,98.5,99.9,95.9,99.1,95.9,95.3,99.9,93.4,94.6,99.7,100.0,99.0,99.9,97.8,98.5,99.9,97.6,99.7,99.5
2025-05-26 17:11:55,97.4,98.4,92.6,99.9,98.8,98.5,96.1,97.1,89.9,99.8,94.7,97.8,95.2,98.4,93.7,95.2,98.1,100,99.9
2025-05-26 17:12:00,99.7,100,96.0,96.9,96.6,91.7,99.6,97.5,94.3,99.5,96.7,99.9,94.8,99.6,93.8,99.9,96.6,99.6,100.0
2025-05-26 17:12:05,99.0,99.1,97.4,94.3,99.2,93.1,94.7,100.0,96.8,99.4,97.8,96.7,99.4,100,93.0,98.5,95.9,96.4,98.3
2025-05-26 17:12:10,99.4,99.6,98.7,100.0,98.1,95.8,96.8,98.7,98.2,99.7,99.1,97.5,95.4,99.2,99.7,97.1,98.5,100.0,99.1
2025-05-26 17:12:15,98.8,96.7,97.6,96.4,97.4,89.1,95.2,99.9,94.2,99.7,95.1,95.8,96.7,98.7,99.5,97.9,98.5,99.9,99.9
2025-05-26 17:12:20,99.9,95.7,97.0,98.3,100.0,96.9,96.2,99.9,96.1,96.7,95.2,99.0,96.4,96.0,99.0,98.2,97.6,98.6,99.6
2025-05-26 17:12:25,99.5,99.7,97.0,99.7,99.6,97.1,91.8,98.0,98.7,99.7,98.8,98.7,98.1,100,97.7,98.1,98.5,100.0,98.8
2025-05-26 17:12:30,99.8,94.2,99.6,98.4,98.3,94.1,92.3,98.8,96.6,99.5,98.6,98.1,99.8,96.1,93.4,97.0,98.9,95.5,99.1
2025-05-26 17:12:35,90.4,87.2,95.9,94.0,95.9,88.4,94.0,96.5,94.7,99.6,82.3,95.1,90.3,94.0,95.3,100,98.2,99.1,96.1
2025-05-26 17:12:40,85.9,93.1,83.5,80.6,92.5,86.2,67.5,83.0,62.0,86.3,88.3,93.2,91.5,96.7,64.0,89.4,91.0,60.7,74.8
2025-05-26 17:12:45,69.9,54.9,54.3,13.1,55.6,54.3,51.1,48.5,18.1,61.6,43.0,66.6,53.5,54.9,24.9,40.4,59.6,31.7,50.6
2025-05-26 17:12:50,76.0,38.3,11.4,4.87,9.10,30.7,14.6,30.1,6.40,21.0,10.2,18.0,72.4,62.9,7.07,4.43,11.2,10.4,16.4
2025-05-26 17:12:55,8.16,6.13,10.5,5.86,5.73,14.2,7.22,7.43,7.48,17.5,7.98,8.90,23.8,13.0,10.2,7.85,5.93,6.86,5.90
2025-05-26 17:13:00,5.04,5.33,10.6,5.97,5.93,6.57,9.00,5.80,7.63,15.3,9.61,7.28,5.56,5.12,7.99,4.53,6.15,5.94,5.89
